Temps	Axial D?lacement	Axial Force	Axial fl?he	Axial CMOD*2	Canon		Axial Force	Axial Force
Sec	mm	N	mm	mm	unitless		N	N
107.51367	-0.32067895	-84.93734	-0.001000837	0.008117855	0		-84.93734	84.93734
108.01367	-0.32313168	-87.867737	-0.001081079	0.00800699	0		-87.867737	87.867737
108.51367	-0.32463372	-91.474121	-0.001155287	0.00810355	0		-91.474121	91.474121
109.01367	-0.32654405	-91.431404	-0.001197979	0.008079112	0		-91.431404	91.431404
109.51367	-0.32887757	-97.567574	-0.001223385	0.008014143	0		-97.567574	97.567574
110.01367	-0.33094883	-99.644028	-0.001293495	0.00790894	0		-99.644028	99.644028
110.51367	-0.33101141	-104.22072	-0.001356602	0.007919669	0		-104.22072	104.22072
111.01367	-0.33216774	-107.93092	-0.001395792	0.008043051	0		-107.93092	107.93092
111.51367	-0.33452511	-115.29413	-0.001467094	0.007899106	0		-115.29413	115.29413
112.01367	-0.33701658	-120.94326	-0.001587123	0.007850826	0		-120.94326	120.94326
112.51367	-0.33645928	-124.58207	-0.001694113	0.007921159	0		-124.58207	124.58207
113.01367	-0.33911169	-126.02049	-0.001678467	0.007897019	0		-126.02049	126.02049
113.51367	-0.34025013	-130.7562	-0.001796559	0.007877648	0		-130.7562	130.7562
114.01367	-0.34114718	-134.98079	-0.001788884	0.007766485	0		-134.98079	134.98079
114.51367	-0.34331083	-137.71475	-0.001784191	0.007809997	0		-137.71475	137.71475
115.01367	-0.34460127	-140.03371	-0.001845732	0.00793457	0		-140.03371	140.03371
115.51367	-0.34496188	-146.77969	-0.001961514	0.007683933	0		-146.77969	146.77969
116.01367	-0.34779012	-152.951	-0.002049059	0.007709563	0		-152.951	152.951
116.51367	-0.34956336	-155.88359	-0.002050027	0.007728636	1		-155.88359	155.88359
117.01367	-0.35241544	-155.67136	-0.002167225	0.007809997	0		-155.67136	155.67136
117.51367	-0.35247207	-159.41606	-0.002163798	0.007656813	0		-159.41606	159.41606
118.01367	-0.35377741	-164.30307	-0.002193525	0.007649958	0		-164.30307	164.30307
118.51367	-0.35651624	-166.80063	-0.002238527	0.007469058	0		-166.80063	166.80063
119.01367	-0.35667717	-172.93411	-0.002188012	0.007740557	0		-172.93411	172.93411
119.51367	-0.357759	-176.33112	-0.002306849	0.007644594	0		-176.33112	176.33112
120.01367	-0.36006868	-179.55057	-0.002310947	0.007590652	0		-179.55057	179.55057
120.51367	-0.36070943	-186.27364	-0.002358481	0.00754416	0		-186.27364	186.27364
121.01367	-0.36401451	-186.04395	-0.002351403	0.007445812	0		-186.04395	186.04395
121.51367	-0.36561787	-186.37459	-0.002439544	0.007587969	0		-186.37459	186.37459
122.01367	-0.36498308	-188.11458	-0.002369881	0.007473826	0		-188.11458	188.11458
122.51367	-0.36852658	-191.68536	-0.002443045	0.007542074	0		-191.68536	191.68536
123.01367	-0.36821663	-190.31456	-0.002401695	0.00746876	0		-190.31456	190.31456
123.51367	-0.37105381	-191.70132	-0.002449378	0.007532835	0		-191.70132	191.70132
124.01367	-0.37201345	-189.98315	-0.002419055	0.007582605	0		-189.98315	189.98315
124.51367	-0.37266314	-190.16885	-0.002381951	0.007520616	0		-190.16885	190.16885
125.01367	-0.37415326	-190.41634	-0.002409443	0.007427335	0		-190.41634	190.41634
125.51367	-0.37717819	-194.39674	-0.002372265	0.007459223	0		-194.39674	194.39674
126.01367	-0.37787855	-190.69945	-0.002394617	0.007538796	0		-190.69945	190.69945
126.51367	-0.37879348	-191.83566	-0.002442077	0.007477999	0		-191.83566	191.83566
127.01367	-0.38038492	-192.73227	-0.002446026	0.00754416	1		-192.73227	192.73227
127.51367	-0.3823489	-194.45659	-0.002461523	0.007457137	0		-194.45659	194.45659
128.01367	-0.38278699	-196.77037	-0.002449229	0.007371903	0		-196.77037	196.77037
128.51367	-0.38578212	-194.53441	-0.002469644	0.007491112	0		-194.53441	194.53441
129.01367	-0.38729012	-196.10835	-0.002430603	0.007543564	0		-196.10835	196.10835
129.51367	-0.38856864	-193.18799	-0.002451688	0.007457137	0		-193.18799	193.18799
130.01367	-0.38876832	-191.62341	-0.002389252	0.007414818	0		-191.62341	191.62341
130.51367	-0.3918916	-192.96716	-0.002427623	0.007620156	0		-192.96716	192.96716
131.01367	-0.39277375	-192.44292	-0.002468824	0.00756979	0		-192.44292	192.44292
131.51367	-0.39545298	-192.92244	-0.002450943	0.007590056	0		-192.92244	192.92244
132.01367	-0.39533675	-193.57329	-0.002447069	0.007453561	0		-193.57329	193.57329
132.51367	-0.39749146	-193.83113	-0.00248	0.007558465	0		-193.83113	193.83113
133.01367	-0.39915442	-195.64259	-0.002410486	0.007506907	0		-195.64259	195.64259
133.51367	-0.40066242	-194.91112	-0.002434328	0.00744015	0		-194.91112	194.91112
134.01367	-0.40121973	-195.81949	-0.002401844	0.007354319	0		-195.81949	195.81949
134.51367	-0.40097535	-195.55411	-0.002482981	0.007514954	0		-195.55411	195.55411
135.01367	-0.40421784	-197.05772	-0.002473965	0.007395148	0		-197.05772	197.05772
135.51367	-0.40749907	-198.34827	-0.002511442	0.00757426	0		-198.34827	198.34827
136.01367	-0.4068017	-200.35822	-0.002461374	0.007396042	0		-200.35822	200.35822
136.51367	-0.40834546	-200.23669	-0.002512038	0.007472336	0		-200.23669	200.23669
137.01367	-0.41159093	-199.76062	-0.002474412	0.007459521	0		-199.76062	199.76062
137.51367	-0.41311979	-201.08423	-0.002524182	0.007389486	1		-201.08423	201.08423
138.01367	-0.41421354	-202.34932	-0.002558976	0.007480085	0		-202.34932	202.34932
138.51367	-0.41617751	-205.91653	-0.00260964	0.007459819	0		-205.91653	205.91653
139.01367	-0.41699409	-206.44739	-0.002649128	0.007541478	0		-206.44739	206.44739
139.51367	-0.41876137	-210.47946	-0.002645105	0.007483065	0		-210.47946	210.47946
140.01367	-0.41884184	-212.54349	-0.002688244	0.007325709	0		-212.54349	212.54349
140.51367	-0.41969419	-213.26106	-0.002663583	0.007372797	0		-213.26106	213.26106
141.01367	-0.42330325	-214.91432	-0.002731234	0.007489026	0		-214.91432	214.91432
141.51367	-0.42421818	-221.58299	-0.002798066	0.007377565	0		-221.58299	221.58299
142.01367	-0.42492151	-222.05878	-0.002861396	0.007362068	0		-222.05878	222.05878
142.51367	-0.4270345	-227.63693	-0.002914891	0.007352233	0		-227.63693	227.63693
143.01367	-0.4273355	-231.24384	-0.002937391	0.007382929	0		-231.24384	231.24384
143.51367	-0.42809546	-227.04582	-0.002994388	0.007308424	0		-227.04582	227.04582
144.01367	-0.43040514	-223.78816	-0.002980381	0.007289648	0		-223.78816	223.78816
144.51367	-0.43007433	-236.52769	-0.003073216	0.007366836	0		-236.52769	236.52769
145.01367	-0.43257773	-245.17647	-0.003201217	0.007236302	0		-245.17647	245.17647
145.51367	-0.43626726	-248.94527	-0.00315018	0.007209182	0		-248.94527	248.94527
146.01367	-0.43892562	-252.37753	-0.003239512	0.00713408	0		-252.37753	252.37753
146.51367	-0.44058263	-253.57947	-0.003296137	0.007250905	0		-253.57947	253.57947
147.01367	-0.44232309	-254.24728	-0.0032828	0.007193983	0		-254.24728	254.24728
147.51367	-0.44126213	-261.39941	-0.003370941	0.006999373	0		-261.39941	261.39941
148.01367	-0.4442513	-261.89761	-0.003422201	0.007030666	1		-261.89761	261.89761
148.51367	-0.443995	-267.36987	-0.003578365	0.007022023	1		-267.36987	267.36987
149.01367	-0.44760406	-269.98175	-0.003547967	0.007098019	0		-269.98175	269.98175
149.51367	-0.45032203	-273.5112	-0.003522113	0.007050037	0		-273.5112	273.5112
150.01367	-0.45076013	-276.56641	-0.003586635	0.006965101	0		-276.56641	276.56641
